TrioID	Callable_bp	MeanDepth	Child	Father	Mother	LowAuto	HighAuto	LowSex	HighSex
B101	427280661	31.50	B101	B31	B01	15.75	62.99	15.75	62.99
B102	464063262	32.96	B102	B31	B01	16.48	65.92	16.48	65.92
B103	477859715	33.12	B103	B31	B01	16.56	66.23	16.56	66.23
B104	459637707	32.64	B104	B31	B01	16.32	65.28	16.32	65.28
B105	440483856	36.49	B105	B31	B01	18.24	72.97	18.24	72.97
B106	475427494	33.64	B106	B31	B01	16.82	67.29	16.82	67.29
B107	473569478	34.54	B107	B31	B01	17.27	69.07	17.27	69.07
B108	414224002	37.80	B108	B31	B01	18.90	75.60	18.90	75.60
B165	372098718	28.70	B165	B14	B24	14.35	57.40	14.35	57.40
B166	364740343	29.06	B166	B14	B24	14.53	58.13	14.53	58.13
B167	365177286	28.85	B167	B14	B24	14.43	57.70	14.43	57.70
B168	360225375	28.98	B168	B14	B24	14.49	57.95	14.49	57.95
B169	364644046	29.13	B169	B14	B24	14.57	58.27	14.57	58.27
B170	399542084	27.80	B170	B14	B24	13.90	55.61	13.90	55.61
B171	403924072	26.07	B171	B14	B24	13.04	52.15	13.04	52.15
B172	362099439	24.44	B172	B14	B24	12.22	48.88	12.22	48.88
