B101;190204171;190204171;380408342;289431645;0.76;76.1;26.1
B102;239509182;239509182;479018364;363707698;0.76;75.9;30.5
B103;241775729;241775729;483551458;368458694;0.76;76.2;31.0
B104;228564075;228564075;457128150;345859210;0.76;75.7;29.5
B105;265471756;265471756;530943512;397618947;0.75;74.9;41.1
B106;218170215;218170215;436340430;324957473;0.74;74.5;32.5
B107;239047824;239047824;478095648;357389615;0.75;74.8;35.2
B108;305760439;305760439;611520878;463439880;0.76;75.8;45.0
B14;153624934;153624934;307249868;225300352;0.73;73.3;21.1
B165;221589468;221589468;443178936;331124809;0.75;74.7;33.9
B166;222528523;222528523;445057046;336869047;0.76;75.7;35.0
B167;225710758;225710758;451421516;338127715;0.75;74.9;34.4
B168;244575686;244575686;489151372;363868432;0.74;74.4;34.7
B169;238299451;238299451;476598902;353038652;0.74;74.1;35.2
B170;216234972;216234972;432469944;319053028;0.74;73.8;31.2
B171;183404121;183404121;366808242;270224369;0.74;73.7;26.0
B172;149816460;149816460;299632920;221272236;0.74;73.8;21.1
B24;231493202;231493202;462986404;344622599;0.74;74.4;30.6
B31;206964458;206964458;413928916;309916186;0.75;74.9;33.3
